Numbers,Descriptor,Meaning
1,MaxAbsEStateIndex,
2,MaxEStateIndex,
3,MinAbsEStateIndex,
4,MinEStateIndex,
5,qed,Calculate the weighted sum of ADS mapped properties
6,MolWt,The average molecular weight of the molecule
7,HeavyAtomMolWt,The average molecular weight of the molecule ignoring hydrogens
8,ExactMolWt,The exact molecular weight of the molecule
9,NumValenceElectrons,The number of valence electrons the molecule has
10,NumRadicalElectrons,The number of radical electrons the molecule has
11,FpDensityMorgan1,
12,FpDensityMorgan2,
13,FpDensityMorgan3,
14,AvgIpc,This returns the average information content of the coefficients of the characteristic polynomial of the adjacency matrix of a hydrogen-suppressed graph of a molecule.
15,BalabanJ,Calculate Balaban¡¯s J value for a molecule
16,BertzCT,A topological index meant to quantify ¡°complexity¡± of molecules.
17,Chi0,
18,Chi0n,
19,Chi0v,
20,Chi1,
21,Chi1n,
22,Chi1v,
23,Chi2n,
24,Chi2v,
25,Chi3n,
26,Chi3v,
27,Chi4n,
28,Chi4v,
29,HallKierAlpha,
30,Kappa1,
31,Kappa2,
32,Kappa3,
33,PEOE_VSA1,MOE Charge VSA Descriptor 1 (-inf < x < -0.30)
34,PEOE_VSA10,MOE Charge VSA Descriptor 10 ( 0.10 <= x < 0.15)
35,PEOE_VSA11,MOE Charge VSA Descriptor 11 ( 0.15 <= x < 0.20)
36,PEOE_VSA12,MOE Charge VSA Descriptor 12 ( 0.20 <= x < 0.25)
37,PEOE_VSA13,MOE Charge VSA Descriptor 13 ( 0.25 <= x < 0.30)
38,PEOE_VSA2,MOE Charge VSA Descriptor 2 (-0.30 <= x < -0.25)
39,PEOE_VSA3,MOE Charge VSA Descriptor 3 (-0.25 <= x < -0.20)
40,PEOE_VSA4,MOE Charge VSA Descriptor 4 (-0.20 <= x < -0.15)
41,PEOE_VSA5,MOE Charge VSA Descriptor 5 (-0.15 <= x < -0.10)
42,PEOE_VSA6,MOE Charge VSA Descriptor 6 (-0.10 <= x < -0.05)
43,PEOE_VSA7,MOE Charge VSA Descriptor 7 (-0.05 <= x < 0.00)
44,PEOE_VSA8,MOE Charge VSA Descriptor 8 ( 0.00 <= x < 0.05)
45,PEOE_VSA9,MOE Charge VSA Descriptor 9 ( 0.05 <= x < 0.10)
46,SMR_VSA10,MOE MR VSA Descriptor 10 ( 4.00 <= x < inf)
47,SMR_VSA2,MOE MR VSA Descriptor 2 ( 1.29 <= x < 1.82)
48,SMR_VSA3,MOE MR VSA Descriptor 3 ( 1.82 <= x < 2.24)
49,SMR_VSA4,MOE MR VSA Descriptor 4 ( 2.24 <= x < 2.45)
50,SMR_VSA5,MOE MR VSA Descriptor 5 ( 2.45 <= x < 2.75)
51,SMR_VSA6,MOE MR VSA Descriptor 6 ( 2.75 <= x < 3.05)
52,SMR_VSA7,MOE MR VSA Descriptor 7 ( 3.05 <= x < 3.63)
53,SMR_VSA9,MOE MR VSA Descriptor 9 ( 3.80 <= x < 4.00)
54,SlogP_VSA1,MOE logP VSA Descriptor 1 (-inf < x < -0.40)
55,SlogP_VSA10,MOE logP VSA Descriptor 10 ( 0.40 <= x < 0.50)
56,SlogP_VSA11,MOE logP VSA Descriptor 11 ( 0.50 <= x < 0.60)
57,SlogP_VSA12,MOE logP VSA Descriptor 12 ( 0.60 <= x < inf)
58,SlogP_VSA2,MOE logP VSA Descriptor 2 (-0.40 <= x < -0.20)
59,SlogP_VSA3,MOE logP VSA Descriptor 3 (-0.20 <= x < 0.00)
60,SlogP_VSA5,MOE logP VSA Descriptor 5 ( 0.10 <= x < 0.15)
61,SlogP_VSA6,MOE logP VSA Descriptor 6 ( 0.15 <= x < 0.20)
62,SlogP_VSA7,MOE logP VSA Descriptor 7 ( 0.20 <= x < 0.25)
63,SlogP_VSA8,MOE logP VSA Descriptor 8 ( 0.25 <= x < 0.30)
64,TPSA,total polar surface area
65,EState_VSA1,EState VSA Descriptor 1 (-inf < x < -0.39)
66,EState_VSA10,EState VSA Descriptor 10 ( 9.17 <= x < 15.00)
67,EState_VSA11,EState VSA Descriptor 11 ( 15.00 <= x < inf)
68,EState_VSA2,EState VSA Descriptor 2 ( -0.39 <= x < 0.29)
69,EState_VSA3,EState VSA Descriptor 3 ( 0.29 <= x < 0.72)
70,EState_VSA5,EState VSA Descriptor 5 ( 1.17 <= x < 1.54)
71,EState_VSA6,EState VSA Descriptor 6 ( 1.54 <= x < 1.81)
72,EState_VSA7,EState VSA Descriptor 7 ( 1.81 <= x < 2.05)
73,EState_VSA8,EState VSA Descriptor 8 ( 2.05 <= x < 4.69)
74,EState_VSA9,EState VSA Descriptor 9 ( 4.69 <= x < 9.17)
75,VSA_EState1,VSA EState Descriptor 1 (-inf < x < 4.78)
76,VSA_EState10,VSA EState Descriptor 10 ( 11.00 <= x < inf)
77,VSA_EState2,VSA EState Descriptor 2 ( 4.78 <= x < 5.00)
78,VSA_EState3,VSA EState Descriptor 3 ( 5.00 <= x < 5.41)
79,VSA_EState4,VSA EState Descriptor 4 ( 5.41 <= x < 5.74)
80,VSA_EState5,VSA EState Descriptor 5 ( 5.74 <= x < 6.00)
81,VSA_EState6,VSA EState Descriptor 6 ( 6.00 <= x < 6.07)
82,VSA_EState7,VSA EState Descriptor 7 ( 6.07 <= x < 6.45)
83,VSA_EState8,VSA EState Descriptor 8 ( 6.45 <= x < 7.00)
84,VSA_EState9,VSA EState Descriptor 9 ( 7.00 <= x < 11.00)
85,FractionCSP3,returns the fraction of C atoms that are SP3 hybridized
86,HeavyAtomCount,Number of heavy atoms a molecule
87,NHOHCount,Number of NHs or OHs
88,NOCount,Number of Nitrogens and Oxygens
89,NumAliphaticCarbocycles,returns the number of aliphatic (containing at least one non-aromatic bond) carbocycles for a molecule
90,NumAliphaticHeterocycles,returns the number of aliphatic (containing at least one non-aromatic bond) heterocycles for a molecule
91,NumAliphaticRings,returns the number of aliphatic (containing at least one non-aromatic bond) rings for a molecule
92,NumAromaticCarbocycles,returns the number of aromatic carbocycles for a molecule
93,NumAromaticHeterocycles,returns the number of aromatic heterocycles for a molecule
94,NumAromaticRings,returns the number of aromatic rings for a molecule
95,NumHAcceptors,Number of Hydrogen Bond Acceptors
96,NumHDonors,Number of Hydrogen Bond Donors
97,NumHeteroatoms,Number of Heteroatoms
98,NumRotatableBonds,Number of Rotatable Bonds
99,NumSaturatedCarbocycles,returns the number of saturated carbocycles for a molecule
100,NumSaturatedHeterocycles,returns the number of saturated heterocycles for a molecule
101,NumSaturatedRings,returns the number of saturated rings for a molecule
102,RingCount,
103,MolLogP,Wildman-Crippen LogP value
104,MolMR,Wildman-Crippen MR value
105,fr_Al_COO,Number of aliphatic carboxylic acids
106,fr_Al_OH,Number of aliphatic hydroxyl groups
107,fr_Al_OH_noTert,Number of aliphatic hydroxyl groups excluding tert-OH
108,fr_ArN,Number of N functional groups attached to aromatics
109,fr_Ar_COO,Number of Aromatic carboxylic acide
110,fr_Ar_N,Number of aromatic nitrogens
111,fr_Ar_NH,Number of aromatic amines
112,fr_Ar_OH,Number of aromatic hydroxyl groups
113,fr_COO,Number of carboxylic acids
114,fr_COO2,Number of carboxylic acids
115,fr_C_O,Number of carbonyl O
116,fr_C_O_noCOO,"Number of carbonyl O, excluding COOH"
117,fr_C_S,Number of thiocarbonyl
118,fr_HOCCN,Number of C(OH)CCN-Ctert-alkyl or C(OH)CCNcyclic
119,fr_Imine,Number of Imines
120,fr_NH0,Number of Tertiary amines
121,fr_NH1,Number of Secondary amines
122,fr_NH2,Number of Primary amines
123,fr_N_O,Number of hydroxylamine groups
124,fr_Ndealkylation1,Number of XCCNR groups
125,fr_Ndealkylation2,"Number of tert-alicyclic amines (no heteroatoms, not quinine-like bridged N)"
126,fr_Nhpyrrole,Number of H-pyrrole nitrogens
127,fr_SH,Number of thiol groups
128,fr_aldehyde,Number of aldehydes
129,fr_alkyl_carbamate,Number of alkyl carbamates (subject to hydrolysis)
130,fr_alkyl_halide,Number of alkyl halides
131,fr_allylic_oxid,Number of allylic oxidation sites excluding steroid dienone
132,fr_amide,Number of amides
133,fr_amidine,Number of amidine groups
134,fr_aniline,Number of anilines
135,fr_aryl_methyl,Number of aryl methyl sites for hydroxylation
136,fr_azo,Number of azide groups
137,fr_barbitur,Number of barbiturate groups
138,fr_benzene,Number of benzene rings
139,fr_bicyclic,Bicyclic
140,fr_diazo,Number of diazo groups
141,fr_dihydropyridine,Number of dihydropyridines
142,fr_epoxide,Number of epoxide rings
143,fr_ester,Number of esters
144,fr_ether,Number of ether oxygens (including phenoxy)
145,fr_furan,Number of furan rings
146,fr_guanido,Number of guanidine groups
147,fr_halogen,Number of halogens
148,fr_hdrzine,Number of hydrazine groups
149,fr_hdrzone,Number of hydrazone groups
150,fr_imidazole,Number of imidazole rings
151,fr_imide,Number of imide groups
152,fr_isocyan,Number of isocyanates
153,fr_isothiocyan,Number of isothiocyanates
154,fr_ketone,Number of ketones
