numbers,name,description
1,ABC,atom-bond connectivity index
2,ABCGG,Graovac-Ghorbani atom-bond connectivity index
3,nAcid,acidic group count
4,nBase,basic group count
5,SpAbs_A,SpAbs of adjacency matrix
6,SpMax_A,SpMax of adjacency matrix
7,SpDiam_A,SpDiam of adjacency matrix
8,SpAD_A,SpAD of adjacency matrix
9,SpMAD_A,SpMAD of adjacency matrix
10,LogEE_A,LogEE of adjacency matrix
11,VE1_A,VE1 of adjacency matrix
12,VE2_A,VE2 of adjacency matrix
13,VE3_A,VE3 of adjacency matrix
14,VR1_A,VR1 of adjacency matrix
15,VR2_A,VR2 of adjacency matrix
16,VR3_A,VR3 of adjacency matrix
17,nAromAtom,aromatic atoms count
18,nAromBond,aromatic bonds count
19,nAtom,number of all atoms
20,nHeavyAtom,number of heavy atoms
21,nSpiro,number of spiro atoms
22,nBridgehead,number of bridgehead atoms
23,nHetero,number of hetero atoms
24,nH,number of H atoms
25,nB,number of B atoms
26,nC,number of C atoms
27,nN,number of N atoms
28,nO,number of O atoms
29,nS,number of S atoms
30,nP,number of P atoms
31,nF,number of F atoms
32,nCl,number of Cl atoms
33,nBr,number of Br atoms
34,nI,number of I atoms
35,nX,number of halogen atoms
36,ATS0dv,moreau-broto autocorrelation of lag 0 weighted by valence electrons
37,ATS1dv,moreau-broto autocorrelation of lag 1 weighted by valence electrons
38,ATS2dv,moreau-broto autocorrelation of lag 2 weighted by valence electrons
39,ATS3dv,moreau-broto autocorrelation of lag 3 weighted by valence electrons
40,ATS4dv,moreau-broto autocorrelation of lag 4 weighted by valence electrons
41,ATS5dv,moreau-broto autocorrelation of lag 5 weighted by valence electrons
42,ATS6dv,moreau-broto autocorrelation of lag 6 weighted by valence electrons
43,ATS7dv,moreau-broto autocorrelation of lag 7 weighted by valence electrons
44,ATS8dv,moreau-broto autocorrelation of lag 8 weighted by valence electrons
45,ATS0d,moreau-broto autocorrelation of lag 0 weighted by sigma electrons
46,ATS1d,moreau-broto autocorrelation of lag 1 weighted by sigma electrons
47,ATS2d,moreau-broto autocorrelation of lag 2 weighted by sigma electrons
48,ATS3d,moreau-broto autocorrelation of lag 3 weighted by sigma electrons
49,ATS4d,moreau-broto autocorrelation of lag 4 weighted by sigma electrons
50,ATS5d,moreau-broto autocorrelation of lag 5 weighted by sigma electrons
51,ATS6d,moreau-broto autocorrelation of lag 6 weighted by sigma electrons
52,ATS7d,moreau-broto autocorrelation of lag 7 weighted by sigma electrons
53,ATS8d,moreau-broto autocorrelation of lag 8 weighted by sigma electrons
54,ATS0s,moreau-broto autocorrelation of lag 0 weighted by intrinsic state
55,ATS1s,moreau-broto autocorrelation of lag 1 weighted by intrinsic state
56,ATS2s,moreau-broto autocorrelation of lag 2 weighted by intrinsic state
57,ATS3s,moreau-broto autocorrelation of lag 3 weighted by intrinsic state
58,ATS4s,moreau-broto autocorrelation of lag 4 weighted by intrinsic state
59,ATS5s,moreau-broto autocorrelation of lag 5 weighted by intrinsic state
60,ATS6s,moreau-broto autocorrelation of lag 6 weighted by intrinsic state
61,ATS7s,moreau-broto autocorrelation of lag 7 weighted by intrinsic state
62,ATS8s,moreau-broto autocorrelation of lag 8 weighted by intrinsic state
63,ATS0Z,moreau-broto autocorrelation of lag 0 weighted by atomic number
64,ATS1Z,moreau-broto autocorrelation of lag 1 weighted by atomic number
65,ATS2Z,moreau-broto autocorrelation of lag 2 weighted by atomic number
66,ATS3Z,moreau-broto autocorrelation of lag 3 weighted by atomic number
67,ATS4Z,moreau-broto autocorrelation of lag 4 weighted by atomic number
68,ATS5Z,moreau-broto autocorrelation of lag 5 weighted by atomic number
69,ATS6Z,moreau-broto autocorrelation of lag 6 weighted by atomic number
70,ATS7Z,moreau-broto autocorrelation of lag 7 weighted by atomic number
71,ATS8Z,moreau-broto autocorrelation of lag 8 weighted by atomic number
72,ATS0m,moreau-broto autocorrelation of lag 0 weighted by mass
73,ATS1m,moreau-broto autocorrelation of lag 1 weighted by mass
74,ATS2m,moreau-broto autocorrelation of lag 2 weighted by mass
75,ATS3m,moreau-broto autocorrelation of lag 3 weighted by mass
76,ATS4m,moreau-broto autocorrelation of lag 4 weighted by mass
77,ATS5m,moreau-broto autocorrelation of lag 5 weighted by mass
78,ATS6m,moreau-broto autocorrelation of lag 6 weighted by mass
79,ATS7m,moreau-broto autocorrelation of lag 7 weighted by mass
80,ATS8m,moreau-broto autocorrelation of lag 8 weighted by mass
81,ATS0v,moreau-broto autocorrelation of lag 0 weighted by vdw volume
82,ATS1v,moreau-broto autocorrelation of lag 1 weighted by vdw volume
83,ATS2v,moreau-broto autocorrelation of lag 2 weighted by vdw volume
84,ATS3v,moreau-broto autocorrelation of lag 3 weighted by vdw volume
85,ATS4v,moreau-broto autocorrelation of lag 4 weighted by vdw volume
86,ATS5v,moreau-broto autocorrelation of lag 5 weighted by vdw volume
87,ATS6v,moreau-broto autocorrelation of lag 6 weighted by vdw volume
88,ATS7v,moreau-broto autocorrelation of lag 7 weighted by vdw volume
89,ATS8v,moreau-broto autocorrelation of lag 8 weighted by vdw volume
90,ATS0se,moreau-broto autocorrelation of lag 0 weighted by sanderson EN
91,ATS1se,moreau-broto autocorrelation of lag 1 weighted by sanderson EN
92,ATS2se,moreau-broto autocorrelation of lag 2 weighted by sanderson EN
93,ATS3se,moreau-broto autocorrelation of lag 3 weighted by sanderson EN
94,ATS4se,moreau-broto autocorrelation of lag 4 weighted by sanderson EN
95,ATS5se,moreau-broto autocorrelation of lag 5 weighted by sanderson EN
96,ATS6se,moreau-broto autocorrelation of lag 6 weighted by sanderson EN
97,ATS7se,moreau-broto autocorrelation of lag 7 weighted by sanderson EN
98,ATS8se,moreau-broto autocorrelation of lag 8 weighted by sanderson EN
99,ATS0pe,moreau-broto autocorrelation of lag 0 weighted by pauling EN
100,ATS1pe,moreau-broto autocorrelation of lag 1 weighted by pauling EN
101,ATS2pe,moreau-broto autocorrelation of lag 2 weighted by pauling EN
102,ATS3pe,moreau-broto autocorrelation of lag 3 weighted by pauling EN
103,ATS4pe,moreau-broto autocorrelation of lag 4 weighted by pauling EN
104,ATS5pe,moreau-broto autocorrelation of lag 5 weighted by pauling EN
105,ATS6pe,moreau-broto autocorrelation of lag 6 weighted by pauling EN
106,ATS7pe,moreau-broto autocorrelation of lag 7 weighted by pauling EN
107,ATS8pe,moreau-broto autocorrelation of lag 8 weighted by pauling EN
108,ATS0are,moreau-broto autocorrelation of lag 0 weighted by allred-rocow EN
109,ATS1are,moreau-broto autocorrelation of lag 1 weighted by allred-rocow EN
110,ATS2are,moreau-broto autocorrelation of lag 2 weighted by allred-rocow EN
111,ATS3are,moreau-broto autocorrelation of lag 3 weighted by allred-rocow EN
112,ATS4are,moreau-broto autocorrelation of lag 4 weighted by allred-rocow EN
113,ATS5are,moreau-broto autocorrelation of lag 5 weighted by allred-rocow EN
114,ATS6are,moreau-broto autocorrelation of lag 6 weighted by allred-rocow EN
115,ATS7are,moreau-broto autocorrelation of lag 7 weighted by allred-rocow EN
116,ATS8are,moreau-broto autocorrelation of lag 8 weighted by allred-rocow EN
117,ATS0p,moreau-broto autocorrelation of lag 0 weighted by polarizability
118,ATS1p,moreau-broto autocorrelation of lag 1 weighted by polarizability
119,ATS2p,moreau-broto autocorrelation of lag 2 weighted by polarizability
120,ATS3p,moreau-broto autocorrelation of lag 3 weighted by polarizability
121,ATS4p,moreau-broto autocorrelation of lag 4 weighted by polarizability
122,ATS5p,moreau-broto autocorrelation of lag 5 weighted by polarizability
123,ATS6p,moreau-broto autocorrelation of lag 6 weighted by polarizability
124,ATS7p,moreau-broto autocorrelation of lag 7 weighted by polarizability
125,ATS8p,moreau-broto autocorrelation of lag 8 weighted by polarizability
126,ATS0i,moreau-broto autocorrelation of lag 0 weighted by ionization potential
127,ATS1i,moreau-broto autocorrelation of lag 1 weighted by ionization potential
128,ATS2i,moreau-broto autocorrelation of lag 2 weighted by ionization potential
129,ATS3i,moreau-broto autocorrelation of lag 3 weighted by ionization potential
130,ATS4i,moreau-broto autocorrelation of lag 4 weighted by ionization potential
131,ATS5i,moreau-broto autocorrelation of lag 5 weighted by ionization potential
132,ATS6i,moreau-broto autocorrelation of lag 6 weighted by ionization potential
133,ATS7i,moreau-broto autocorrelation of lag 7 weighted by ionization potential
134,ATS8i,moreau-broto autocorrelation of lag 8 weighted by ionization potential
135,AATS0dv,averaged moreau-broto autocorrelation of lag 0 weighted by valence electrons
136,AATS1dv,averaged moreau-broto autocorrelation of lag 1 weighted by valence electrons
137,AATS2dv,averaged moreau-broto autocorrelation of lag 2 weighted by valence electrons
138,AATS3dv,averaged moreau-broto autocorrelation of lag 3 weighted by valence electrons
139,AATS4dv,averaged moreau-broto autocorrelation of lag 4 weighted by valence electrons
140,AATS5dv,averaged moreau-broto autocorrelation of lag 5 weighted by valence electrons
141,AATS6dv,averaged moreau-broto autocorrelation of lag 6 weighted by valence electrons
142,AATS7dv,averaged moreau-broto autocorrelation of lag 7 weighted by valence electrons
143,AATS8dv,averaged moreau-broto autocorrelation of lag 8 weighted by valence electrons
144,AATS0d,averaged moreau-broto autocorrelation of lag 0 weighted by sigma electrons
145,AATS1d,averaged moreau-broto autocorrelation of lag 1 weighted by sigma electrons
146,AATS2d,averaged moreau-broto autocorrelation of lag 2 weighted by sigma electrons
147,AATS3d,averaged moreau-broto autocorrelation of lag 3 weighted by sigma electrons
148,AATS4d,averaged moreau-broto autocorrelation of lag 4 weighted by sigma electrons
149,AATS5d,averaged moreau-broto autocorrelation of lag 5 weighted by sigma electrons
150,AATS6d,averaged moreau-broto autocorrelation of lag 6 weighted by sigma electrons
151,AATS7d,averaged moreau-broto autocorrelation of lag 7 weighted by sigma electrons
152,AATS8d,averaged moreau-broto autocorrelation of lag 8 weighted by sigma electrons
153,AATS0s,averaged moreau-broto autocorrelation of lag 0 weighted by intrinsic state
154,AATS1s,averaged moreau-broto autocorrelation of lag 1 weighted by intrinsic state
155,AATS2s,averaged moreau-broto autocorrelation of lag 2 weighted by intrinsic state
156,AATS3s,averaged moreau-broto autocorrelation of lag 3 weighted by intrinsic state
157,AATS4s,averaged moreau-broto autocorrelation of lag 4 weighted by intrinsic state
158,AATS5s,averaged moreau-broto autocorrelation of lag 5 weighted by intrinsic state
159,AATS6s,averaged moreau-broto autocorrelation of lag 6 weighted by intrinsic state
160,AATS7s,averaged moreau-broto autocorrelation of lag 7 weighted by intrinsic state
161,AATS8s,averaged moreau-broto autocorrelation of lag 8 weighted by intrinsic state
162,AATS0Z,averaged moreau-broto autocorrelation of lag 0 weighted by atomic number
163,AATS1Z,averaged moreau-broto autocorrelation of lag 1 weighted by atomic number
164,AATS2Z,averaged moreau-broto autocorrelation of lag 2 weighted by atomic number
165,AATS3Z,averaged moreau-broto autocorrelation of lag 3 weighted by atomic number
166,AATS4Z,averaged moreau-broto autocorrelation of lag 4 weighted by atomic number
167,AATS5Z,averaged moreau-broto autocorrelation of lag 5 weighted by atomic number
168,AATS6Z,averaged moreau-broto autocorrelation of lag 6 weighted by atomic number
169,AATS7Z,averaged moreau-broto autocorrelation of lag 7 weighted by atomic number
170,AATS8Z,averaged moreau-broto autocorrelation of lag 8 weighted by atomic number
171,AATS0m,averaged moreau-broto autocorrelation of lag 0 weighted by mass
172,AATS1m,averaged moreau-broto autocorrelation of lag 1 weighted by mass
173,AATS2m,averaged moreau-broto autocorrelation of lag 2 weighted by mass
174,AATS3m,averaged moreau-broto autocorrelation of lag 3 weighted by mass
175,AATS4m,averaged moreau-broto autocorrelation of lag 4 weighted by mass
176,AATS5m,averaged moreau-broto autocorrelation of lag 5 weighted by mass
177,AATS6m,averaged moreau-broto autocorrelation of lag 6 weighted by mass
178,AATS7m,averaged moreau-broto autocorrelation of lag 7 weighted by mass
179,AATS8m,averaged moreau-broto autocorrelation of lag 8 weighted by mass
180,AATS0v,averaged moreau-broto autocorrelation of lag 0 weighted by vdw volume
181,AATS1v,averaged moreau-broto autocorrelation of lag 1 weighted by vdw volume
182,AATS2v,averaged moreau-broto autocorrelation of lag 2 weighted by vdw volume
